entity,year,avg_pagerank,max_pagerank,avg_degree_centrality,avg_momentum,windows_rising,windows_falling,net_momentum_signal,narrative_trend,network_type
Atlanta United FC,2018,0.023865199999999996,0.041772,0.1695644,0.0009714000000000001,1,2,-1,stable,club_entity
Atlanta United FC,2019,0.035413,0.057894,0.20237080000000002,0.0011744000000000004,3,2,1,stable,club_entity
Atlanta United FC,2020,0.021868600000000002,0.03994,0.1523114,-0.006372600000000001,1,4,-3,falling,club_entity
Atlanta United FC,2021,0.017499400000000002,0.024389,0.1182812,0.00044600000000000005,1,2,-1,stable,club_entity
Atlanta United FC,2022,0.0136606,0.019425,0.1228776,-0.0020924000000000003,2,3,-1,stable,club_entity
Atlanta United FC,2023,0.0140382,0.020645,0.11534740000000002,0.0008558000000000003,2,1,1,stable,club_entity
Atlanta United FC,2024,0.0101808,0.017574,0.0739286,0.0001688000000000002,2,2,0,stable,club_entity
Austin FC,2018,0.007770399999999999,0.014024,0.04948860000000001,0.0008493999999999999,1,1,0,stable,club_entity
Austin FC,2019,0.009453,0.016789,0.060236599999999994,-0.0007832000000000001,1,2,-1,stable,club_entity
Austin FC,2020,0.0041982,0.006622,0.0372946,-0.001456,0,3,-3,falling,club_entity
Austin FC,2021,0.0136326,0.0186,0.0861338,0.0031612000000000003,3,2,1,stable,club_entity
Austin FC,2022,0.0061192,0.00991,0.06002339999999999,-0.0017424000000000003,1,3,-2,falling,club_entity
Austin FC,2023,0.007445200000000001,0.01341,0.0664326,-0.0006732,1,2,-1,stable,club_entity
Austin FC,2024,0.0088548,0.014636,0.0812732,0.001364,3,1,2,rising,club_entity
CF Montreal,2018,0.0281202,0.033658,0.2268112,-0.0012040000000000006,3,1,2,rising,club_entity
CF Montreal,2019,0.0360954,0.053797,0.284346,0.003888,2,2,0,stable,club_entity
CF Montreal,2020,0.054550999999999995,0.085695,0.3576284,0.004652999999999999,3,2,1,stable,club_entity
CF Montreal,2021,0.054937,0.058668,0.311762,0.0035249999999999995,2,0,2,rising,club_entity
CF Montreal,2022,0.0489818,0.054709,0.3641534,-0.001347,3,2,1,stable,club_entity
CF Montreal,2023,0.0447548,0.056808,0.3452792,-0.0052087999999999995,2,3,-1,stable,club_entity
CF Montreal,2024,0.038203,0.054121,0.3447494,-0.0011814,2,3,-1,stable,club_entity
Charlotte FC,2018,0.0029424,0.007127,0.025704600000000005,-0.0007234000000000001,1,2,-1,stable,club_entity
Charlotte FC,2019,0.0039834,0.007625,0.027690200000000005,0.0014424,2,0,2,rising,club_entity
Charlotte FC,2020,0.0030746,0.006984,0.020979400000000002,-0.0009139999999999999,1,2,-1,stable,club_entity
Charlotte FC,2021,0.004222399999999999,0.005985,0.0332144,0.0008816,1,0,1,stable,club_entity
Charlotte FC,2022,0.009436,0.014876,0.08526779999999999,0.0009764000000000002,3,2,1,stable,club_entity
Charlotte FC,2023,0.011372799999999999,0.016137,0.09314019999999999,0.00042339999999999983,2,2,0,stable,club_entity
Charlotte FC,2024,0.012815199999999999,0.020682,0.1090646,0.0009670000000000002,3,2,1,stable,club_entity
Chicago Fire FC,2018,0.019941,0.025281,0.1595582,0.0017778,2,2,0,stable,club_entity
Chicago Fire FC,2019,0.026213599999999997,0.030026,0.1854154,0.0008858000000000002,3,1,2,rising,club_entity
Chicago Fire FC,2020,0.0134082,0.018529,0.1041714,-0.0057194,0,5,-5,falling,club_entity
Chicago Fire FC,2021,0.0195024,0.02471,0.1342054,0.0045196,3,1,2,rising,club_entity
Chicago Fire FC,2022,0.0337024,0.047411,0.2604438,0.005326,3,1,2,rising,club_entity
Chicago Fire FC,2023,0.019880000000000002,0.027301,0.165992,-0.0084084,0,4,-4,falling,club_entity
Chicago Fire FC,2024,0.0151034,0.018456,0.1364132,-0.00013700000000000005,2,3,-1,stable,club_entity
Colorado Rapids,2018,0.013896200000000001,0.021557,0.1058474,-0.0015562000000000002,1,2,-1,stable,club_entity
Colorado Rapids,2019,0.011591399999999998,0.016644,0.099122,0.0011246,1,1,0,stable,club_entity
Colorado Rapids,2020,0.012194,0.02186,0.071623,-0.0018909999999999999,1,2,-1,stable,club_entity
Colorado Rapids,2021,0.006805,0.008835,0.0571924,-0.0003696000000000001,1,2,-1,stable,club_entity
Colorado Rapids,2022,0.0095096,0.018936,0.07814,-0.0007858,1,2,-1,stable,club_entity
Colorado Rapids,2023,0.012739200000000001,0.015556,0.10291120000000001,0.002559,4,1,3,rising,club_entity
Colorado Rapids,2024,0.01721,0.020867,0.1496614,0.0012182000000000002,3,2,1,stable,club_entity
Columbus Crew,2018,0.0210832,0.02742,0.166636,0.0007137999999999999,2,1,1,stable,club_entity
Columbus Crew,2019,0.020758,0.03802,0.148762,-0.0032326,1,3,-2,falling,club_entity
Columbus Crew,2020,0.0131888,0.021695,0.1139258,0.0005135999999999998,2,2,0,stable,club_entity
Columbus Crew,2021,0.010801,0.019964,0.08360419999999999,-0.003549,1,4,-3,falling,club_entity
Columbus Crew,2022,0.010457,0.0134,0.0968152,0.0009622000000000001,2,1,1,stable,club_entity
Columbus Crew,2023,0.0146374,0.031324,0.1352058,0.0042798,2,1,1,stable,club_entity
Columbus Crew,2024,0.0272138,0.038834,0.26017999999999997,0.0036048000000000005,3,2,1,stable,club_entity
D.C. United,2018,0.029927000000000002,0.083313,0.18512040000000002,-0.0008285999999999994,1,3,-2,falling,club_entity
D.C. United,2019,0.0230368,0.039121,0.13986839999999998,0.0014244,2,3,-1,stable,club_entity
D.C. United,2020,0.0261784,0.030292,0.182013,0.00013539999999999977,2,2,0,stable,club_entity
D.C. United,2021,0.0141352,0.024019,0.0970328,-0.007137599999999999,1,4,-3,falling,club_entity
D.C. United,2022,0.0134484,0.017596,0.0985452,0.0016359999999999999,3,0,3,rising,club_entity
D.C. United,2023,0.0140098,0.021139,0.0983062,-0.0018186,2,2,0,stable,club_entity
D.C. United,2024,0.0082496,0.010355,0.07550280000000001,-5.4600000000000006e-05,1,1,0,stable,club_entity
FC Cincinnati,2018,0.011355,0.020058,0.0761156,-0.0003424,1,2,-1,stable,club_entity
FC Cincinnati,2019,0.0079544,0.014615,0.0690466,-0.0021295999999999997,1,3,-2,falling,club_entity
FC Cincinnati,2020,0.0065918,0.010534,0.052728,0.0012055999999999998,1,0,1,stable,club_entity
FC Cincinnati,2021,0.0113288,0.022215,0.0893096,0.0028590000000000004,2,1,1,stable,club_entity
FC Cincinnati,2022,0.008612999999999999,0.012062,0.08997279999999999,-0.0021342,1,3,-2,falling,club_entity
FC Cincinnati,2023,0.014698600000000001,0.025168,0.12588280000000002,0.0035428,2,0,2,rising,club_entity
FC Cincinnati,2024,0.010778800000000002,0.015003,0.092789,-0.002723,1,3,-2,falling,club_entity
FC Dallas,2018,0.0133628,0.021548,0.11561740000000001,0.0007436,1,1,0,stable,club_entity
FC Dallas,2019,0.0169944,0.023223,0.1392082,0.0004017999999999998,3,1,2,rising,club_entity
FC Dallas,2020,0.0190428,0.024384,0.1284396,0.0009592,3,2,1,stable,club_entity
FC Dallas,2021,0.0176424,0.022919,0.1142422,0.0004294000000000002,2,1,1,stable,club_entity
FC Dallas,2022,0.0136632,0.018681,0.12257119999999999,-0.0013788,2,3,-1,stable,club_entity
FC Dallas,2023,0.011282999999999998,0.020744,0.10210699999999999,-0.0015504,1,3,-2,falling,club_entity
FC Dallas,2024,0.0113634,0.022585,0.0936424,-0.00138,1,3,-2,falling,club_entity
Houston Dynamo FC,2018,0.011753799999999998,0.019887,0.1113416,0.0003404,1,2,-1,stable,club_entity
Houston Dynamo FC,2019,0.0101858,0.015193,0.0935168,-0.0007928000000000003,2,2,0,stable,club_entity
Houston Dynamo FC,2020,0.0122934,0.017305,0.1142244,0.001247,2,1,1,stable,club_entity
Houston Dynamo FC,2021,0.0165614,0.018418,0.1201284,0.0013517999999999998,3,0,3,rising,club_entity
Houston Dynamo FC,2022,0.0109212,0.013191,0.0988888,-0.0019198000000000004,1,2,-1,stable,club_entity
Houston Dynamo FC,2023,0.0110978,0.017611,0.1035846,0.00045059999999999995,1,2,-1,stable,club_entity
Houston Dynamo FC,2024,0.005453,0.006556,0.05297,-0.0031266,0,3,-3,falling,club_entity
Inter Miami CF,2018,0.024046,0.040542,0.137788,0.00028859999999999997,1,2,-1,stable,club_entity
Inter Miami CF,2019,0.0231598,0.035817,0.14035579999999998,0.0008204000000000003,1,1,0,stable,club_entity
Inter Miami CF,2020,0.0307098,0.03896,0.21531060000000002,0.0019162000000000003,3,1,2,rising,club_entity
Inter Miami CF,2021,0.0227594,0.037571,0.12900240000000002,-0.0056826,1,4,-3,falling,club_entity
Inter Miami CF,2022,0.0340222,0.05665,0.2371632,0.009873799999999999,4,1,3,rising,club_entity
Inter Miami CF,2023,0.0512756,0.073617,0.2960574,0.0074172000000000005,3,1,2,rising,club_entity
Inter Miami CF,2024,0.0389768,0.049132,0.2968596,-0.0057938,2,3,-1,stable,club_entity
LA Galaxy,2018,0.0313818,0.039504,0.21840779999999999,-0.0011600000000000002,2,2,0,stable,club_entity
LA Galaxy,2019,0.0308786,0.056181,0.20448719999999998,0.0045376,2,2,0,stable,club_entity
LA Galaxy,2020,0.0213946,0.038663,0.1466618,-0.0118532,0,4,-4,falling,club_entity
LA Galaxy,2021,0.0166354,0.021068,0.12656459999999997,0.0019707999999999995,3,1,2,rising,club_entity
LA Galaxy,2022,0.0223358,0.02756,0.181014,0.0020413999999999996,2,1,1,stable,club_entity
LA Galaxy,2023,0.021387200000000002,0.026022,0.179724,-0.0012316,1,2,-1,stable,club_entity
LA Galaxy,2024,0.026802799999999998,0.031162,0.20671879999999998,0.0042959999999999995,4,1,3,rising,club_entity
LAFC,2018,0.0149344,0.022607,0.12388620000000002,-0.0017352,1,2,-1,stable,club_entity
LAFC,2019,0.0148414,0.025434,0.1108082,0.0035334000000000003,2,1,1,stable,club_entity
LAFC,2020,0.018293800000000002,0.023924,0.1330098,-0.0011648000000000001,1,2,-1,stable,club_entity
LAFC,2021,0.008387599999999999,0.016973,0.0634538,-0.003803,2,3,-1,stable,club_entity
LAFC,2022,0.0227628,0.036833,0.1633268,0.0061573999999999995,4,1,3,rising,club_entity
LAFC,2023,0.0260154,0.038738,0.2119846,0.002812,2,1,1,stable,club_entity
LAFC,2024,0.020630199999999998,0.026628,0.153655,-0.0033902000000000003,1,4,-3,falling,club_entity
Minnesota United FC,2018,0.0201204,0.030426,0.11548480000000001,0.0002609999999999998,2,1,1,stable,club_entity
Minnesota United FC,2019,0.0102172,0.014077,0.0789874,-0.0043878,1,4,-3,falling,club_entity
Minnesota United FC,2020,0.005782000000000001,0.008344,0.046291000000000006,-0.0009325999999999999,1,2,-1,stable,club_entity
Minnesota United FC,2021,0.00693,0.01516,0.057872,-0.00025180000000000005,1,2,-1,stable,club_entity
Minnesota United FC,2022,0.00833,0.011207,0.0796702,0.0006336,1,1,0,stable,club_entity
Minnesota United FC,2023,0.0068292000000000005,0.010272,0.0653066,-1.8199999999999944e-05,1,1,0,stable,club_entity
Minnesota United FC,2024,0.0098774,0.012374,0.094189,0.0006213999999999999,2,1,1,stable,club_entity
Nashville SC,2018,0.010673199999999999,0.023303,0.0668668,0.0010874,1,2,-1,stable,club_entity
Nashville SC,2019,0.0078274,0.015976,0.0504158,-0.0024679999999999997,2,3,-1,stable,club_entity
Nashville SC,2020,0.0134852,0.022189,0.090591,0.001108,2,3,-1,stable,club_entity
Nashville SC,2021,0.0087074,0.012675,0.0705824,-0.00038659999999999996,1,1,0,stable,club_entity
Nashville SC,2022,0.0085512,0.011894,0.0762138,-0.00044880000000000007,2,1,1,stable,club_entity
Nashville SC,2023,0.0119584,0.020329,0.10451740000000001,0.0022976000000000003,2,1,1,stable,club_entity
Nashville SC,2024,0.0114866,0.019314,0.10114039999999999,-0.0017843999999999998,1,3,-2,falling,club_entity
New England Revolution,2018,0.011537799999999999,0.013652,0.10490080000000002,0.00024079999999999994,1,0,1,stable,club_entity
New England Revolution,2019,0.0097768,0.020162,0.08057,-0.0018905999999999999,1,4,-3,falling,club_entity
New England Revolution,2020,0.0143088,0.034475,0.12009020000000001,0.0029066,2,3,-1,stable,club_entity
New England Revolution,2021,0.0222056,0.03319,0.1488304,0.0017962000000000006,3,2,1,stable,club_entity
New England Revolution,2022,0.0181224,0.024571,0.1494876,-0.0017323999999999998,2,1,1,stable,club_entity
New England Revolution,2023,0.019523,0.036237,0.1527666,0.0023866000000000004,3,2,1,stable,club_entity
New England Revolution,2024,0.0125644,0.018949,0.10489359999999999,-0.0031052000000000002,1,3,-2,falling,club_entity
New York City FC,2018,0.024345600000000002,0.03097,0.1899086,-0.0019016000000000003,3,1,2,rising,club_entity
New York City FC,2019,0.011910200000000001,0.019689,0.0973016,-0.0030876000000000002,1,4,-3,falling,club_entity
New York City FC,2020,0.0144432,0.027799,0.11231260000000001,-0.0005991999999999997,3,2,1,stable,club_entity
New York City FC,2021,0.0201532,0.031713,0.1402854,0.0046700000000000005,2,0,2,rising,club_entity
New York City FC,2022,0.0198308,0.023751,0.1787466,-0.0023078,0,2,-2,falling,club_entity
New York City FC,2023,0.0147314,0.019069,0.12097100000000001,-0.0019788,1,2,-1,stable,club_entity
New York City FC,2024,0.018886800000000002,0.030123,0.1634408,0.0018486,3,2,1,stable,club_entity
New York Red Bulls,2018,0.0196878,0.020073,0.16587659999999999,-1.96e-05,0,0,0,stable,club_entity
New York Red Bulls,2019,0.011167199999999999,0.015635,0.100414,-0.0042302,0,4,-4,falling,club_entity
New York Red Bulls,2020,0.026127599999999994,0.075483,0.142806,0.0143708,3,0,3,rising,club_entity
New York Red Bulls,2021,0.0215946,0.032695,0.1299504,-0.010027999999999999,0,4,-4,falling,club_entity
New York Red Bulls,2022,0.0162514,0.021923,0.1455006,-0.0018526,1,3,-2,falling,club_entity
New York Red Bulls,2023,0.0142014,0.016781,0.12015500000000001,-0.0002684000000000001,1,1,0,stable,club_entity
New York Red Bulls,2024,0.012700600000000001,0.024787,0.11105800000000002,0.0006092000000000001,1,3,-2,falling,club_entity
Orlando City SC,2018,0.016405799999999998,0.018921,0.1431422,-9.25999999999998e-05,2,1,1,stable,club_entity
Orlando City SC,2019,0.010597800000000001,0.022632,0.0989082,-0.0022358,1,3,-2,falling,club_entity
Orlando City SC,2020,0.018965000000000003,0.02824,0.1391938,0.004822600000000001,4,1,3,rising,club_entity
Orlando City SC,2021,0.0338676,0.039333,0.23806940000000001,0.003268,3,2,1,stable,club_entity
Orlando City SC,2022,0.0170638,0.025444,0.14513,-0.0065808,1,3,-2,falling,club_entity
Orlando City SC,2023,0.0119602,0.015465,0.1058164,-0.0008560000000000002,1,3,-2,falling,club_entity
Orlando City SC,2024,0.0186852,0.031246,0.16822900000000002,0.0019934,3,2,1,stable,club_entity
Philadelphia Union,2018,0.015351599999999998,0.024312,0.1380682,0.0018799999999999997,2,1,1,stable,club_entity
Philadelphia Union,2019,0.0191848,0.031485,0.1593076,-0.0015216000000000001,1,3,-2,falling,club_entity
Philadelphia Union,2020,0.017099800000000002,0.031703,0.12311100000000001,0.0025637999999999998,1,2,-1,stable,club_entity
Philadelphia Union,2021,0.019014200000000002,0.025539,0.142167,0.0007120000000000002,2,2,0,stable,club_entity
Philadelphia Union,2022,0.0365586,0.054293,0.2708406,0.0083052,4,1,3,rising,club_entity
Philadelphia Union,2023,0.0248138,0.034334,0.2081884,-0.009479000000000001,0,5,-5,falling,club_entity
Philadelphia Union,2024,0.0256378,0.036723,0.2287084,0.0009228,4,1,3,rising,club_entity
Portland Timbers,2018,0.014504,0.028454,0.1251816,0.0020378,2,2,0,stable,club_entity
Portland Timbers,2019,0.0190474,0.03112,0.163889,-0.0008877999999999997,3,2,1,stable,club_entity
Portland Timbers,2020,0.0118428,0.019113,0.10810660000000001,-0.0008181999999999996,2,2,0,stable,club_entity
Portland Timbers,2021,0.012220400000000001,0.022497,0.07686459999999999,0.00013720000000000016,1,2,-1,stable,club_entity
Portland Timbers,2022,0.0108986,0.016701,0.08543579999999999,-0.002134,1,2,-1,stable,club_entity
Portland Timbers,2023,0.0064058000000000006,0.01367,0.0543936,-0.0025036,1,4,-3,falling,club_entity
Portland Timbers,2024,0.012275600000000001,0.019904,0.1092462,0.00296,3,2,1,stable,club_entity
Real Salt Lake,2018,0.0051288,0.007193,0.044952599999999995,0.00012400000000000003,1,0,1,stable,club_entity
Real Salt Lake,2019,0.011903,0.018719,0.092464,0.0013461999999999999,2,2,0,stable,club_entity
Real Salt Lake,2020,0.010857200000000001,0.015316,0.0835076,0.0007826000000000002,3,1,2,rising,club_entity
Real Salt Lake,2021,0.0126684,0.021777,0.0939028,0.0011356,1,2,-1,stable,club_entity
Real Salt Lake,2022,0.010120599999999999,0.014296,0.0938576,-0.0020628000000000005,1,2,-1,stable,club_entity
Real Salt Lake,2023,0.0079668,0.00937,0.0738306,-0.0002858,1,1,0,stable,club_entity
Real Salt Lake,2024,0.012159600000000001,0.023003,0.11322999999999998,0.0001729999999999999,2,3,-1,stable,club_entity
San Jose Earthquakes,2018,0.0071016,0.010295,0.06313579999999999,0.0003298,1,0,1,stable,club_entity
San Jose Earthquakes,2019,0.006873,0.010756,0.0562344,0.00020020000000000012,1,1,0,stable,club_entity
San Jose Earthquakes,2020,0.011489599999999999,0.015541,0.1094916,0.001668,2,1,1,stable,club_entity
San Jose Earthquakes,2021,0.0091688,0.012899,0.0683064,-0.0001354000000000001,2,2,0,stable,club_entity
San Jose Earthquakes,2022,0.0062794,0.008448,0.061326799999999994,-0.0017804000000000001,1,2,-1,stable,club_entity
San Jose Earthquakes,2023,0.0079016,0.012149,0.06726380000000001,-0.0009834000000000002,2,2,0,stable,club_entity
San Jose Earthquakes,2024,0.0089652,0.016721,0.0742844,0.0009641999999999998,3,2,1,stable,club_entity
Seattle Sounders FC,2018,0.0208674,0.023341,0.1694388,0.00020680000000000004,2,1,1,stable,club_entity
Seattle Sounders FC,2019,0.0230028,0.028476,0.1681514,0.0018359999999999997,3,1,2,rising,club_entity
Seattle Sounders FC,2020,0.0183772,0.023497,0.1507742,-0.0024668000000000003,1,3,-2,falling,club_entity
Seattle Sounders FC,2021,0.0207208,0.024348,0.15248299999999998,-0.0003642000000000003,3,1,2,rising,club_entity
Seattle Sounders FC,2022,0.0132828,0.015549,0.1178614,-0.0027984000000000004,0,2,-2,falling,club_entity
Seattle Sounders FC,2023,0.0168054,0.03246,0.1480572,0.0035378,3,2,1,stable,club_entity
Seattle Sounders FC,2024,0.017828,0.030408,0.1550116,0.00032060000000000004,2,3,-1,stable,club_entity
Sporting Kansas City,2018,0.0094802,0.012661,0.0931114,-0.0001415999999999999,1,2,-1,stable,club_entity
Sporting Kansas City,2019,0.008659,0.014953,0.0769824,-8.080000000000015e-05,1,2,-1,stable,club_entity
Sporting Kansas City,2020,0.0070388000000000004,0.009512,0.06277279999999999,-0.001028,0,2,-2,falling,club_entity
Sporting Kansas City,2021,0.014285200000000001,0.022194,0.1022718,0.0021716,2,1,1,stable,club_entity
Sporting Kansas City,2022,0.009152,0.010754,0.0781138,-0.0012126,1,2,-1,stable,club_entity
Sporting Kansas City,2023,0.0082958,0.014679,0.07530080000000001,0.0004095999999999999,1,2,-1,stable,club_entity
Sporting Kansas City,2024,0.012843799999999999,0.019983,0.1281798,0.00027860000000000016,3,1,2,rising,club_entity
St. Louis City SC,2019,0.0007080000000000001,0.001128,0.0058095,0.00042,0,0,0,stable,club_entity
St. Louis City SC,2020,0.0017845,0.002686,0.0031465,0.000779,0,0,0,stable,club_entity
St. Louis City SC,2021,0.000352,0.000555,0.00120425,-0.0008795,0,1,-1,stable,club_entity
St. Louis City SC,2022,0.001642,0.002942,0.0118232,0.0006172,0,0,0,stable,club_entity
St. Louis City SC,2023,0.0052294,0.007959,0.0496122,0.0015334,2,1,1,stable,club_entity
St. Louis City SC,2024,0.0034516,0.005778,0.029515999999999997,-0.0009042,1,2,-1,stable,club_entity
Toronto FC,2018,0.0173626,0.022249,0.15439580000000003,-0.001256,1,2,-1,stable,club_entity
Toronto FC,2019,0.0209586,0.031582,0.1638562,0.0035996,3,1,2,rising,club_entity
Toronto FC,2020,0.0151284,0.02553,0.1254758,-0.0025172,1,3,-2,falling,club_entity
Toronto FC,2021,0.0155502,0.023347,0.1041086,0.0007935999999999999,2,2,0,stable,club_entity
Toronto FC,2022,0.0165282,0.02311,0.1406944,-0.0023508,1,2,-1,stable,club_entity
Toronto FC,2023,0.019142799999999998,0.027151,0.151834,0.0010840000000000003,3,2,1,stable,club_entity
Toronto FC,2024,0.0218054,0.027806,0.1808518,0.0022502,4,1,3,rising,club_entity
Vancouver Whitecaps FC,2018,0.014230999999999999,0.015954,0.1129824,-0.00010560000000000005,0,1,-1,stable,club_entity
Vancouver Whitecaps FC,2019,0.0192526,0.02335,0.1386736,0.0012318000000000001,2,2,0,stable,club_entity
Vancouver Whitecaps FC,2020,0.0188302,0.02486,0.13046560000000001,-0.0007325999999999999,3,2,1,stable,club_entity
Vancouver Whitecaps FC,2021,0.0091386,0.013781,0.06632819999999999,-0.0023991999999999998,2,3,-1,stable,club_entity
Vancouver Whitecaps FC,2022,0.010364,0.016405,0.09048120000000001,-0.00014780000000000037,1,1,0,stable,club_entity
Vancouver Whitecaps FC,2023,0.010969999999999999,0.01777,0.096946,0.001992,1,0,1,stable,club_entity
Vancouver Whitecaps FC,2024,0.010291600000000001,0.016832,0.0931288,-0.0010357999999999997,1,2,-1,stable,club_entity
